Date-Time	Sr[0]	Sr[1]	Sr[2]	Sr[3]	Sr[4]	Sr[5]	Sr[6]	Sr[7]	Sr[8]	Sr[9]	Sr[10]	Sr[11]	Sr[12]	Sr[13]	Sr[14]	Sr[15]	Sr[16]	Sr[17]	Sr[18]	Sr[19]	Sr[20]	Sr[21]	Sr[22]	Sr[23]	Sr[24]	Sr[25]	Sr[26]	Sr[27]	Sr[28]	Sr[29]	Sr[30]	Sr[31]	Sr[32]	Sr[33]	Sr[34]	Sr[35]	Sr[36]	Sr[M]
Feb 22 2023 18:04:14	21558.96	1086.97	1158.11	681.53	711.68	419.26	388.81	260.54	236.31	186.19	194.34	170.03	159.40	148.75	147.77	147.68	150.96	150.20	145.57	139.37	123.24	111.05	97.83	94.75	90.22	87.38	79.02	77.58	75.63	80.53	84.02	92.77	97.98	108.08	109.22	107.82	103.22	980.26
Feb 22 2023 18:04:15	22277.28	871.63	896.88	570.23	580.49	367.57	329.75	229.57	205.99	164.07	171.26	146.00	134.59	121.15	117.56	113.33	112.56	110.89	105.09	103.03	91.25	85.68	77.22	77.28	73.73	73.18	67.73	68.69	68.17	73.91	77.95	87.11	92.46	103.39	104.32	103.67	99.65	980.26
Feb 22 2023 18:04:16	20248.66	1100.06	1272.69	711.72	760.85	448.22	420.10	277.23	256.86	200.31	209.43	180.56	168.28	153.32	150.17	147.62	148.71	145.81	145.91	142.56	132.58	125.64	117.40	116.41	112.28	108.98	100.21	98.36	95.95	101.50	105.72	116.48	122.74	134.70	137.33	135.10	129.99	980.29
Feb 22 2023 18:04:17	23573.06	733.71	845.31	545.50	592.91	361.77	336.27	228.79	211.82	170.55	181.42	157.56	143.45	128.60	123.27	118.55	117.11	113.72	109.18	105.20	93.29	86.08	76.46	74.41	69.14	66.95	59.38	58.72	56.28	59.78	61.46	67.86	71.49	79.15	81.10	80.55	78.30	980.30
Feb 22 2023 18:04:18	21908.66	1200.07	1149.50	687.84	690.91	432.45	379.59	262.93	234.44	190.26	197.37	172.61	157.77	144.00	139.92	135.39	134.54	130.22	121.21	117.08	100.23	90.84	78.40	76.61	72.41	71.87	66.30	67.46	67.20	72.96	77.27	86.35	92.43	103.15	106.24	106.21	103.64	980.33
Feb 22 2023 18:04:19	19202.82	882.46	901.67	561.59	554.25	347.36	320.45	226.24	208.79	171.43	180.66	161.68	154.59	146.80	149.69	151.65	158.05	161.20	159.26	157.18	144.01	135.57	124.02	121.21	116.79	113.36	105.66	104.83	104.73	111.40	117.76	129.40	136.71	149.42	151.31	149.33	143.39	980.34
Feb 22 2023 18:04:20	22735.35	744.77	794.99	513.40	534.66	347.05	311.64	223.88	205.14	169.81	180.76	162.06	150.58	142.01	140.30	139.57	141.04	140.15	132.56	126.45	109.12	97.74	84.59	81.56	76.48	74.19	66.93	66.44	64.85	69.20	72.03	79.51	83.94	92.29	94.07	92.83	89.65	980.35
Feb 22 2023 18:04:21	23831.23	668.08	792.92	508.61	551.05	346.97	317.63	223.35	207.00	171.12	184.14	163.48	149.97	137.18	133.82	131.10	131.58	131.76	123.80	121.04	105.66	97.15	84.47	80.73	73.53	70.14	61.34	59.73	56.50	59.22	60.22	65.72	68.36	74.75	75.80	74.57	72.00	980.37
Feb 22 2023 18:04:22	22729.69	795.47	866.48	539.67	572.99	363.21	330.70	234.52	216.32	178.22	189.53	169.41	159.66	148.89	146.07	143.78	144.09	140.93	134.60	126.69	109.83	97.75	84.85	81.49	75.49	72.47	65.04	64.72	63.08	67.68	70.46	78.15	83.02	92.55	94.77	94.72	92.29	980.38
Feb 22 2023 18:04:23	22979.19	824.69	886.11	563.67	578.51	368.40	333.78	235.83	216.61	179.48	189.02	168.37	154.93	143.88	140.34	138.77	138.31	138.07	130.61	126.63	111.65	102.91	91.39	88.63	82.43	78.91	70.67	69.45	66.84	70.55	72.60	79.38	83.04	90.44	91.72	89.86	86.45	980.38
